time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6,meas_tau1,meas_tau2,meas_tau3,meas_tau4,meas_tau5,meas_tau6,gt_tau1,gt_tau2,gt_tau3,gt_tau4,gt_tau5,gt_tau6
3.00029,0,0,0,0,0,0,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.00538,-0.00485165,-0.0614748,-0.0359704,-0.0314756,-0.127313,-0.0162218,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.0103,0.000569126,-0.0978699,-0.0586792,-0.0391517,-0.188463,-0.0200064,-3.69178,18.0688,8.37881,-3.17124,10.1016,2.90628,0,0,0,0,0,0
3.01529,0.000380072,-0.126853,-0.0766678,-0.0235236,-0.237312,-0.0272534,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.02032,-0.0137132,-0.145354,-0.0873606,-0.00479011,-0.294672,-0.0435385,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.0253,-0.00861603,-0.154756,-0.0940719,0.000523047,-0.355275,-0.0461473,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03032,0.0144032,-0.155547,-0.0972196,-0.00186165,-0.419003,-0.0338035,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03529,0.0213754,-0.151225,-0.0954798,0.00900423,-0.490623,-0.0165276,-2.89196,16.9735,7.30455,-3.99924,12.0226,2.277,0,0,0,0,0,0
3.04032,0.0180344,-0.141027,-0.0997263,0.0163193,-0.560251,-0.00075352,-3.37264,16.7214,8.0465,-2.99736,11.2277,2.6082,0,0,0,0,0,0
3.04531,0.0245944,-0.12767,-0.121794,0.00301712,-0.604668,-0.00499074,-3.70754,16.5007,8.55019,-2.59992,10.0105,3.7674,0,0,0,0,0,0
3.05022,0.0354349,-0.111698,-0.150218,-0.00919856,-0.632339,-0.0243141,-3.70754,16.5007,8.55019,-2.59992,10.0105,3.7674,0,0,0,0,0,0
3.05528,0.0522991,-0.096392,-0.176699,-0.0167728,-0.655166,-0.0437688,-4.21974,16.5244,8.40807,-2.68272,9.70416,3.77568,0,0,0,0,0,0
3.06032,0.067062,-0.0817217,-0.191911,-0.0274973,-0.694974,-0.0539797,-3.5263,16.5559,7.70792,-2.6082,11.4264,3.08016,0,0,0,0,0,0
3.0653,0.0744454,-0.0665139,-0.196976,-0.0384285,-0.754821,-0.0539966,-3.5263,16.5559,7.70792,-2.6082,11.4264,3.08016,0,0,0,0,0,0
3.07032,0.0915952,-0.0551645,-0.203965,-0.0373002,-0.803969,-0.0590699,-4.26702,16.8593,7.90856,-3.53556,10.6812,3.55212,0,0,0,0,0,0
3.07533,0.121945,-0.0541852,-0.210943,-0.0221511,-0.853856,-0.060296,-4.6886,17.2139,7.62014,-3.84192,11.5175,2.74896,0,0,0,0,0,0
3.08033,0.144772,-0.0698656,-0.215421,-0.0176475,-0.893775,-0.0570531,-3.81786,18.057,7.6703,-3.0222,10.0022,3.28716,0,0,0,0,0,0
