time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6,thr1,thr2,thr3,thr4,thr5,thr6,truth_tau1,truth_tau2,truth_tau3,truth_tau4,truth_tau5,truth_tau6
1.00024,0,0,0,0,0,0,2.48038,3.9285,3.06968,1.01058,3.62055,0.94734,0,0,0,0,0,0
1.0052,3.06932e-07,-2.33847e-06,-2.86298e-07,8.0912e-07,-1.25768e-05,1.72415e-06,2.48038,3.9285,3.06968,1.01057,3.62055,0.947339,0,0,0,0,0,0
1.01024,2.91397e-06,-2.17493e-05,-2.67134e-06,7.33902e-06,-0.000117769,1.66135e-05,2.48038,3.9285,3.06968,1.01058,3.62055,0.94734,0,0,0,0,0,0
1.0153,1.17588e-05,-8.82955e-05,-1.07604e-05,3.04755e-05,-0.000477601,6.71095e-05,2.48038,3.9285,3.06968,1.01057,3.62055,0.947339,0,0,0,0,0,0
1.02022,3.17101e-05,-0.000239177,-2.90043e-05,8.37554e-05,-0.00129248,0.00018098,2.48038,3.9285,3.06968,1.01057,3.62055,0.947339,0,0,0,0,0,0
1.02528,7.22215e-05,-0.000544188,-6.54547e-05,0.000198418,-0.00293917,0.000406317,2.48038,3.9285,3.06968,1.01058,3.62055,0.94734,0,0,0,0,0,0
1.03018,0.000140011,-0.00104942,-0.000126187,0.000385885,-0.00566288,0.000762859,2.48038,3.9285,3.06968,1.01058,3.62055,0.950727,0,0,0,0,0,0
1.03521,0.00025172,-0.00187586,-0.000225951,0.000689422,-0.0101112,0.00131154,2.48038,3.9285,3.06968,1.01058,3.62055,0.953359,0,0,0,0,0,0
1.04017,0.000416098,-0.00308729,-0.000372595,0.0011227,-0.0166327,0.00206311,2.48038,3.9285,3.06968,1.01057,3.62055,0.955322,0,0,0,0,0,0
1.04525,0.000657196,-0.00486447,-0.000588509,0.00174642,-0.0261824,0.0031282,2.48038,3.9285,3.06968,1.01058,3.62055,0.953404,0,0,0,0,0,0
1.0502,0.000978365,-0.00723216,-0.000876396,0.00259369,-0.0388601,0.00451077,2.48038,3.9285,3.06968,1.01058,3.62055,0.95197,0,0,0,0,0,0
1.05521,0.00141119,-0.0104195,-0.00126288,0.00370142,-0.0558617,0.0061636,2.48038,3.9285,3.06968,1.01058,3.62055,0.961028,0,0,0,0,0,0
1.06021,0.00197118,-0.0145392,-0.00176045,0.00511403,-0.0777346,0.00819405,2.48038,3.9285,3.06968,1.01058,3.62055,0.957815,0,0,0,0,0,0
1.06524,0.0026901,-0.0198232,-0.00239945,0.00687944,-0.105612,0.0107413,2.48038,3.9285,3.06968,1.01058,3.62055,0.955322,0,0,0,0,0,0
1.07023,0.00357584,-0.0263359,-0.00318404,0.00908057,-0.139708,0.0138329,2.48038,3.9285,3.06968,1.01058,3.62055,0.953429,0,0,0,0,0,0
1.07521,0.00466066,-0.0343082,-0.00414896,0.0116809,-0.181056,0.0174367,2.48038,3.9285,3.06968,1.01058,3.62055,0.958749,0,0,0,0,0,0
1.08016,0.00596359,-0.0438732,-0.00531462,0.0147708,-0.230117,0.0215945,2.48038,3.9285,3.06968,1.01058,3.62055,0.956075,0,0,0,0,0,0
1.08519,0.00755092,-0.0555159,-0.00673037,0.0184567,-0.288999,0.0265365,2.48038,3.9285,3.06968,1.01058,3.62055,0.953991,0,0,0,0,0,0
1.09018,0.0094069,-0.0691345,-0.00839444,0.0226864,-0.356685,0.0322364,2.48038,3.9285,3.06968,1.01058,3.62055,0.952411,0,0,0,0,0,0
1.09516,0.0115761,-0.0850508,-0.0103404,0.027708,-0.434259,0.0388148,2.48038,3.9285,3.06968,1.00737,3.62055,0.951204,0,0,0,0,0,0
1.10014,0.0140812,-0.103481,-0.0125947,0.0336063,-0.522095,0.0464422,2.48038,3.9285,3.06968,1.01052,3.62055,0.950286,0,0,0,0,0,0
1.1052,0.0170112,-0.125065,-0.0152387,0.0405735,-0.622356,0.0553175,2.48038,3.9285,3.06968,1.00877,3.62055,0.949576,0,0,0,0,0,0
1.11018,0.0202995,-0.149315,-0.0182137,0.0482699,-0.731805,0.0651987,2.48038,3.9285,3.06968,1.00744,3.62055,0.949041,0,0,0,0,0,0
1.11513,0.0239846,-0.176513,-0.0215519,0.0568784,-0.850603,0.0761693,2.48038,3.9285,3.06968,1.00645,3.62055,0.94864,0,0,0,0,0,0
1.12033,0.0283562,-0.208839,-0.0255072,0.0667618,-0.986675,0.0890003,2.48038,3.9285,3.06968,1.00568,3.62055,0.948319,0,0,0,0,0,0
1.12517,0.0328702,-0.242248,-0.0295833,0.0771672,-1.12172,0.102049,2.48038,3.9285,3.06968,1.01316,3.62055,0.94809,0,0,0,0,0,0
1.13022,0.0381198,-0.281124,-0.0343248,0.0894024,-1.27225,0.116889,2.48038,3.9285,3.06968,1.01493,3.62055,0.947911,0,0,0,0,0,0
1.13529,0.0439217,-0.324137,-0.0395616,0.102462,-1.43112,0.132837,2.48038,3.9285,3.06968,1.01213,3.62055,0.947771,0,0,0,0,0,0
1.14018,0.0500379,-0.369627,-0.0451118,0.115847,-1.59085,0.149093,2.48038,3.9285,3.06968,1.01004,3.62055,0.947671,0,0,0,0,0,0
1.14518,0.0568586,-0.420405,-0.0512985,0.130247,-1.75995,0.166548,2.48038,3.9285,3.06968,1.00842,3.62055,0.947593,0,0,0,0,0,0
1.15022,0.064329,-0.47607,-0.0580713,0.145311,-1.935,0.184875,2.48038,3.9285,3.06968,1.00717,3.62055,0.947533,0,0,0,0,0,0
1.15518,0.0722432,-0.535085,-0.0652498,0.16137,-2.10976,0.203423,2.48038,3.9285,3.06968,1.01849,3.62055,0.947486,0,0,0,0,0,0
1.16017,0.0808126,-0.599012,-0.0730396,0.178263,-2.28745,0.222671,2.48038,3.9285,3.06968,1.0149,3.62055,0.947452,0,0,0,0,0,0
1.16522,0.0900826,-0.668196,-0.081484,0.195754,-2.46735,0.242559,2.48038,3.9285,3.06968,1.01211,3.62055,0.947426,0,0,0,0,0,0
1.17022,0.0998409,-0.741065,-0.0903983,0.213034,-2.64426,0.262481,2.48038,3.9285,3.06968,1.00999,3.62055,0.947404,0,0,0,0,0,0
1.17516,0.110038,-0.81725,-0.0997382,0.229849,-2.8167,0.282256,2.48038,3.9285,3.06968,1.00839,3.62055,0.947389,0,0,0,0,0,0
1.18026,0.12118,-0.900277,-0.109922,0.246603,-2.99135,0.302556,2.48038,3.9285,3.06968,1.0112,3.62055,0.947376,0,0,0,0,0,0
1.18519,0.1325,-0.984418,-0.120247,0.261825,-3.15559,0.321898,2.48038,3.9285,3.06968,1.01935,3.62055,0.947367,0,0,0,0,0,0
1.19018,0.144487,-1.07339,-0.131158,0.27661,-3.31666,0.340769,2.48038,3.9285,3.06968,1.00888,3.62055,0.950795,0,0,0,0,0,0
1.19519,0.157023,-1.16621,-0.142538,0.291837,-3.47241,0.359355,2.48038,3.9285,3.06968,1.01627,3.62055,0.946529,0,0,0,0,0,0
1.20019,0.170051,-1.26246,-0.154334,0.308026,-3.62192,0.377804,2.48038,3.9285,3.06968,1.02522,3.62055,0.945751,0,0,0,0,0,0
1.20519,0.18348,-1.36149,-0.16648,0.324548,-3.76408,0.395914,2.48038,3.9285,3.06968,1.02408,3.62055,0.945748,0,0,0,0,0,0
1.21025,0.197519,-1.46483,-0.179175,0.341033,-3.90095,0.413133,2.48038,3.9285,3.06968,1.01919,3.62055,0.95194,0,0,0,0,0,0
1.21521,0.211589,-1.56821,-0.191889,0.357629,-4.02745,0.42885,2.48038,3.9285,3.06968,1.02343,3.62055,0.950851,0,0,0,0,0,0
1.22022,0.226095,-1.67466,-0.204963,0.374418,-4.14757,0.444013,2.48038,3.9285,3.06968,1.01872,3.62055,0.950012,0,0,0,0,0,0
1.22517,0.240669,-1.78156,-0.218099,0.390842,-4.25911,0.4582,2.48038,3.9285,3.06968,1.01912,3.62055,0.949377,0,0,0,0,0,0
1.23018,0.255594,-1.89086,-0.231528,0.407007,-4.36441,0.471824,2.48038,3.9285,3.06968,1.01538,3.62055,0.948889,0,0,0,0,0,0
1.23529,0.270963,-2.0034,-0.245355,0.422687,-4.46425,0.484187,2.48038,3.9285,3.06968,1.01245,3.62055,0.955475,0,0,0,0,0,0
1.24016,0.285684,-2.11112,-0.258647,0.436599,-4.5523,0.494695,2.48038,3.9285,3.06968,1.0103,3.62055,0.953576,0,0,0,0,0,0
1.24521,0.301045,-2.22291,-0.272478,0.450166,-4.6366,0.504582,2.48038,3.9285,3.06968,1.0086,3.62055,0.952082,0,0,0,0,0,0
1.2502,0.316208,-2.33295,-0.286072,0.462302,-4.71295,0.513568,2.48038,3.9285,3.06968,1.00732,3.62055,0.950954,0,0,0,0,0,0
1.25517,0.331265,-2.4422,-0.299535,0.473276,-4.78254,0.521717,2.48038,3.9285,3.06968,1.00634,3.62055,0.950091,0,0,0,0,0,0
1.26025,0.346572,-2.55278,-0.31321,0.483417,-4.84704,0.528954,2.48038,3.9285,3.06968,1.0058,3.62055,0.952899,0,0,0,0,0,0
1.26519,0.361312,-2.65927,-0.326516,0.491982,-4.90384,0.53509,2.48038,3.9285,3.10554,1.00693,3.62055,0.951583,0,0,0,0,0,0
1.27016,0.375955,-2.76477,-0.339788,0.498342,-4.95531,0.54071,2.48038,3.9285,3.09702,1.03275,3.62055,0.950577,0,0,0,0,0,0
1.27523,0.390693,-2.8707,-0.353199,0.502835,-5.00225,0.546058,2.48038,3.9285,3.09042,1.03579,3.62055,0.949797,0,0,0,0,0,0
1.2802,0.404867,-2.97236,-0.366107,0.505557,-5.04297,0.550873,2.48038,3.9285,3.08548,1.02985,3.62055,0.94921,0,0,0,0,0,0
1.28522,0.418872,-3.07282,-0.378872,0.506739,-5.07908,0.55543,2.48038,3.9285,3.0817,1.02526,3.62055,0.948764,0,0,0,0,0,0
1.29021,0.432496,-3.17023,-0.391312,0.506727,-5.11014,0.559169,2.48038,3.9285,3.07883,1.02176,3.62055,0.951855,0,0,0,0,0,0
1.29529,0.446054,-3.2667,-0.403662,0.505489,-5.13712,0.562449,2.48038,3.9285,3.07661,1.01906,3.62055,0.950763,0,0,0,0,0,0
1.30021,0.458848,-3.35741,-0.415311,0.503651,-5.15916,0.565273,2.48038,3.9285,3.07498,1.01706,3.62055,0.949955,0,0,0,0,0,0
1.30517,0.471367,-3.44587,-0.426697,0.501137,-5.1776,0.567195,2.48038,3.9285,3.07372,1.01552,3.62055,0.956124,0,0,0,0,0,0
1.31021,0.483704,-3.53306,-0.437939,0.49802,-5.19268,0.568532,2.48038,3.9285,3.07275,1.01433,3.62055,0.954026,0,0,0,0,0,0
