time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6
1.00025,0,0,0,0,0,0
1.00541,0,0,0,0,0,0
1.01029,0,0,0,0,0,0
1.01529,0,0,0,0,0,0
1.02027,0,0,0,0,0,0
1.02549,0,0,0,0,0,0
1.0303,0,0,0,0,0,0
1.03536,0,0,0,0,0,0
1.04029,0,0,0,0,0,0
1.04527,0,0,0,0,0,0
1.0503,0,0,0,0,0,0
1.05531,0,0,0,0,0,0
1.06035,0,0,0,0,0,0
1.06536,0,0,0,0,0,0
1.0705,0,0,0,0,0,0
1.07531,0,0,0,0,0,0
1.08028,0,0,0,0,0,0
1.08535,0,0,0,0,0,0
1.09047,0,0,0,0,0,0
1.09543,0,0,0,0,0,0
1.10038,0,0,0,0,0,0
1.10537,0,0,0,0,0,0
1.11031,0,0,0,0,0,0
1.11539,0,0,0,0,0,0
1.12037,0,0,0,0,0,0
1.12553,0,0,0,0,0,0
1.13017,0,0,0,0,0,0
1.13525,0,0,0,0,0,0
1.14025,0,0,0,0,0,0
1.14548,0,0,0,0,0,0
1.1504,0,0,0,0,0,0
1.15517,0,0,0,0,0,0
1.16025,0,0,0,0,0,0
1.16528,0,0,0,0,0,0
1.17019,0,0,0,0,0,0
1.17517,0,0,0,0,0,0
1.18017,0,0,0,0,0,0
1.18519,0,0,0,0,0,0
1.19023,0,0,0,0,0,0
1.19518,0,0,0,0,0,0
1.20026,0,0,0,0,0,0
1.20553,0,0,0,0,0,0
1.21057,0,0,0,0,0,0
1.21558,0,0,0,0,0,0
1.22046,0,0,0,0,0,0
1.22538,0,0,0,0,0,0
1.23042,0,0,0,0,0,0
1.23535,0,0,0,0,0,0
1.24036,0,0,0,0,0,0
1.24567,0,0,0,0,0,0
1.25029,0.318524,0.556898,0.0809205,0.100017,-0.157086,-0.0461968
1.25548,0.323918,0.564841,0.083092,0.0958339,-0.161435,-0.0498581
1.26023,0.328536,0.572603,0.0856366,0.0933314,-0.165588,-0.0518622
1.26529,0.332591,0.579394,0.0882548,0.0929935,-0.168434,-0.054149
1.27036,0.337174,0.585524,0.0903783,0.0930439,-0.171525,-0.0581982
1.27529,0.341123,0.591178,0.0920662,0.071872,-0.175102,-0.0617045
1.28028,0.344078,0.596333,0.0936414,0.0442759,-0.177519,-0.0646671
1.28529,0.347593,0.6019,0.0958623,0.0374644,-0.180323,-0.0676701
1.29055,0.351589,0.607459,0.0983964,0.0370323,-0.183438,-0.0712965
1.29521,0.355121,0.613324,0.10045,0.0567203,-0.186161,-0.0740009
1.30019,0.35764,0.618346,0.10192,0.0616795,-0.187959,-0.0773547
1.30536,0.35985,0.62281,0.103522,0.0599698,-0.188678,-0.0825966
1.31032,0.361873,0.626451,0.105098,0.0585237,-0.19123,-0.0851773
1.31528,0.363982,0.629839,0.107216,0.0569562,-0.194414,-0.085963
1.32055,0.366263,0.633607,0.109804,0.0550863,-0.196334,-0.0874594
1.32526,0.368031,0.636984,0.112066,0.0186076,-0.199045,-0.091525
1.3307,0.369207,0.640653,0.114409,0.0107097,-0.20044,-0.0968495
1.33528,0.369655,0.643224,0.116202,0.0101772,-0.200223,-0.10084
1.34034,0.370597,0.645791,0.118442,0.0292098,-0.202377,-0.103519
1.34532,0.371869,0.647953,0.1209,0.0532707,-0.206923,-0.104971
1.35026,0.37278,0.648974,0.122463,0.0192155,-0.209967,-0.107887
1.35517,0.373777,0.650105,0.123799,-0.0293719,-0.211187,-0.112127
1.36055,0.374952,0.650522,0.124712,-0.0570992,-0.213583,-0.143373
1.36553,0.376142,0.651647,0.125801,-0.0788592,-0.215396,-0.157265
1.37023,0.377165,0.65248,0.126327,-0.100037,-0.215998,-0.15928
1.37553,0.37839,0.653653,0.127546,-0.10016,-0.216695,-0.160072
1.38027,0.379667,0.654751,0.128841,-0.0949508,-0.218171,-0.158789
1.38536,0.380886,0.655799,0.129701,-0.0910957,-0.22014,-0.156631
1.39027,0.382227,0.656533,0.130522,-0.0861084,-0.224259,-0.154757
1.39522,0.383454,0.656835,0.132086,-0.116412,-0.229069,-0.152806
1.40026,0.384679,0.657789,0.134777,-0.154412,-0.23204,-0.150545
1.40522,0.385744,0.658723,0.136887,-0.174615,-0.234252,-0.148559
1.41037,0.386849,0.659171,0.137959,-0.17175,-0.235618,-0.147409
1.41524,0.388099,0.65931,0.138974,-0.162196,-0.236242,-0.146324
1.42023,0.389204,0.660596,0.138482,-0.153819,-0.236464,-0.144914
1.42515,0.390285,0.662599,0.137209,-0.146167,-0.238366,-0.114118
1.43022,0.39138,0.663293,0.136468,-0.137765,-0.242037,-0.0710341
1.43519,0.392346,0.663138,0.135413,-0.167632,-0.244916,-0.0588063
1.44025,0.393493,0.665007,0.135904,-0.170123,-0.246483,-0.0620609
1.44517,0.394266,0.667013,0.136728,-0.163254,-0.248296,-0.0672459
1.45028,0.395005,0.668574,0.136714,-0.155016,-0.25096,-0.0710781
1.45532,0.395791,0.66918,0.135094,-0.165596,-0.255238,-0.104013
1.46031,0.396815,0.670643,0.133601,-0.182119,-0.259641,-0.149874
1.46532,0.397802,0.672571,0.132558,-0.180384,-0.262112,-0.165698
1.47016,0.398826,0.673704,0.131226,-0.173798,-0.263967,-0.166959
1.47529,0.400069,0.674608,0.129718,-0.165271,-0.265178,-0.165553
1.48021,0.401256,0.675116,0.127902,-0.156009,-0.26503,-0.163463
1.48536,0.402444,0.675913,0.126941,-0.108741,-0.265877,-0.161816
1.4906,0.403115,0.675608,0.125606,-0.0897934,-0.268065,-0.159733
1.49534,0.403809,0.675539,0.123975,-0.0816938,-0.270025,-0.156787
1.50036,0.404473,0.675473,0.122417,-0.0739592,-0.271896,-0.153973
1.50535,0.404929,0.675499,0.121401,-0.0695575,-0.27387,-0.152032
1.51042,0.405187,0.675613,0.120901,-0.0683386,-0.275941,-0.150925
1.51531,0.405789,0.676076,0.121036,-0.0649362,-0.277546,-0.149681
1.52029,0.406718,0.676874,0.121777,-0.0594488,-0.278705,-0.148306
1.52527,0.407428,0.677103,0.121636,-0.0555143,-0.281864,-0.147926
1.5303,0.40825,0.677988,0.121335,-0.0153853,-0.284378,-0.147165
1.5354,0.409069,0.679231,0.121309,0.033303,-0.284484,-0.145158
1.54025,0.409618,0.680019,0.120274,0.0430526,-0.285461,-0.143266
1.5454,0.410198,0.681171,0.118695,0.0429282,-0.28701,-0.141435
1.55027,0.411123,0.682072,0.117694,0.0228953,-0.287435,-0.138579
1.55528,0.412294,0.683998,0.117628,0.0543517,-0.2887,-0.136361
1.56034,0.412752,0.685504,0.11711,0.100271,-0.292342,-0.13596
