time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6
1.00011,-1.745e-05,-1.745e-05,-1.745e-05,0,-1.745e-05,-1.745e-05,0,0,0,0,0,0,0,0,0,0,0,0
1.00511,-1.745e-05,0,-3.49e-05,-1.745e-05,-3.49e-05,-1.745e-05,0,0,0.000500144,-0.000500144,0,0,-2.74422e-05,-0.00325017,0.00585919,2.92016e-05,-0.000693859,0.000169434
1.01012,-1.745e-05,0,-1.745e-05,-1.745e-05,-3.49e-05,-1.745e-05,0,0,0.000380345,-0.000380345,0,0,0.000302303,-0.018214,0.0337624,0.000275272,-0.00520785,0.00129498
1.01509,-1.745e-05,0,0,-1.745e-05,-3.49e-05,-1.745e-05,0,0,0.000289872,-0.000289872,0,-0.000498196,0.00237027,-0.0457661,0.0867866,0.00104194,-0.0166385,0.00386825
1.0201,-1.745e-05,0,-1.745e-05,0,-3.49e-05,-1.745e-05,0,0.000501851,0.000220414,0.000281437,0,-0.00037882,0.00780105,-0.0825806,0.159569,0.00292676,-0.0373116,0.00833881
1.02524,-1.745e-05,-1.745e-05,-1.745e-05,-1.745e-05,-1.745e-05,-3.49e-05,0,0.000379421,0.000166642,0.000212779,0,-0.000286405,0.0180324,-0.128868,0.250389,0.00644017,-0.0689938,0.0152087
1.03016,0,0,-3.49e-05,-1.745e-05,-3.49e-05,-1.745e-05,0,0.000289757,0.000127262,0.000657441,0,-0.000218722,0.0323431,-0.180683,0.347156,0.0123744,-0.108389,0.0239046
1.03516,-3.49e-05,0,-1.745e-05,-1.745e-05,-3.49e-05,0,0,0.000220527,9.68559e-05,-0.00100083,0,-0.000666862,0.0512678,-0.241978,0.452669,0.0185864,-0.157377,0.0338116
1.04013,-1.745e-05,-1.745e-05,-1.745e-05,-1.745e-05,-3.49e-05,-3.49e-05,0,0.000666495,-0.000424646,-0.000762641,0,-0.000508154,0.0735344,-0.304528,0.549547,0.0248613,-0.214944,0.0447249
1.04516,-1.745e-05,0,-1.745e-05,-1.745e-05,-3.49e-05,0,0,0.000506382,-0.000322633,-7.62932e-05,0,-0.00038608,0.0985127,-0.373452,0.639705,0.0334676,-0.281016,0.0568694
1.05035,-1.745e-05,0,0,-1.745e-05,-1.745e-05,-3.49e-05,0,0.000381852,-0.000243291,-5.75311e-05,0,-0.000291135,0.125689,-0.455582,0.726591,0.0434085,-0.356426,0.0709493
1.05518,-1.745e-05,0,-1.745e-05,-1.745e-05,-3.49e-05,-1.745e-05,0,0.000293004,-0.000186683,-4.4145e-05,0,-0.000223395,0.151009,-0.54143,0.79616,0.053755,-0.430303,0.0851188
1.06014,-1.745e-05,-1.745e-05,0,-1.745e-05,-3.49e-05,0,0,0.000223345,-0.000142301,-3.365e-05,0,-0.000170285,0.176113,-0.642255,0.859313,0.0649465,-0.512639,0.1003
1.06525,-1.745e-05,-1.745e-05,-1.745e-05,-1.745e-05,-3.49e-05,-1.745e-05,0,0.000169112,-0.000107747,-0.00104262,0,-0.000128935,0.199968,-0.758436,0.910585,0.0734133,-0.602326,0.114875
1.07016,-1.745e-05,0,0,-1.745e-05,-3.49e-05,-1.745e-05,0,0.000129193,-8.23133e-05,-0.000796511,0,-9.85004e-05,0.2208,-0.881977,0.944059,0.0797244,-0.690388,0.128914
1.0751,-1.745e-05,0,-1.745e-05,0,-3.49e-05,-1.745e-05,0,9.85991e-05,0.000433149,-0.000607891,0,-7.51747e-05,0.239658,-1.02031,0.96839,0.085319,-0.782037,0.144344
1.08015,-1.745e-05,0,-1.745e-05,0,-3.49e-05,-1.745e-05,0,7.48495e-05,0.000833293,-0.000461468,0,-5.70674e-05,0.256546,-1.17542,0.983294,0.0906629,-0.878741,0.160979
1.08507,-1.745e-05,0,-3.49e-05,-1.745e-05,-3.49e-05,-1.745e-05,0,5.71912e-05,0.000636705,-0.0003526,0,-0.000537708,0.270652,-1.33346,0.980209,0.0961557,-0.973477,0.172323
1.09017,-1.745e-05,-1.745e-05,-1.745e-05,-1.745e-05,-3.49e-05,-1.745e-05,0,4.33038e-05,0.000482097,0.00024159,0,-0.000407139,0.282771,-1.50452,0.960714,0.103422,-1.0736,0.182939
1.09514,-1.745e-05,-1.745e-05,-1.745e-05,-1.745e-05,-3.49e-05,-1.745e-05,0,3.30031e-05,0.00036742,0.000682319,0,-0.000310293,0.291986,-1.67497,0.926876,0.112841,-1.17066,0.192488
