time,res_0,res_1,res_2,res_3,res_4,res_5,g_0,g_1,g_2,g_3,g_4,g_5,c_0,c_1,c_2,c_3,c_4,c_5,f_0,f_1,f_2,f_3,f_4,f_5,qd_raw_0,qd_raw_1,qd_raw_2,qd_raw_3,qd_raw_4,qd_raw_5,qd_smooth_0,qd_smooth_1,qd_smooth_2,qd_smooth_3,qd_smooth_4,qd_smooth_5
3.00029,0,0,0,0,0,0,-0.00178434,10.3166,5.48101,0.204941,3.90358,0.175682,-0.00211881,-0.00235592,-0.00185542,8.81763e-05,0.000101425,0.000505262,-3.09327,6.00788,1.64479,-3.15063,4.25811,2.78898,-0.15708,0.0146608,0.106814,-0.180118,0.0984366,0.121475,-0.15708,0.0146608,0.106814,-0.180118,0.0984366,0.121475
3.00538,-5.31347e-06,-6.58985e-05,-4.51478e-05,-1.49402e-05,-7.09465e-05,-9.13984e-06,-0.00178434,10.3166,5.48101,0.204941,3.90358,0.175682,-0.00211881,-0.00235592,-0.00185542,8.81763e-05,0.000101425,0.000505262,-3.09327,6.00788,1.64479,-3.15063,4.25811,2.78898,-0.15708,0.0146608,0.106814,-0.180118,0.0984366,0.121475,-0.15708,0.0146608,0.106814,-0.180118,0.0984366,0.121475
3.0103,4.45253e-05,-0.000497304,-0.000364393,-4.25486e-05,-0.00045575,-4.1551e-05,0.00115461,10.315,5.47985,0.205668,3.90105,0.175178,-0.00221484,-0.00251382,-0.00196137,7.43109e-05,0.000109579,0.000517346,-3.10054,6.11967,1.64479,-3.14672,4.27004,2.78617,-0.165457,0.0188496,0.106814,-0.17174,0.108909,0.117286,-0.159057,0.0156493,0.106814,-0.178141,0.100908,0.120486
3.01529,-3.07427e-05,-0.00161989,-0.00122039,-0.000101781,-0.00174815,-0.000222608,0.00245587,10.3142,5.47935,0.206021,3.90014,0.175029,-0.00234718,-0.00263809,-0.00203251,6.9511e-05,0.000123095,0.000538473,-3.10432,6.27596,1.65036,-3.17143,4.26477,2.78969,-0.163363,0.0230383,0.121475,-0.230383,0.0963422,0.125664,-0.160085,0.0174139,0.110315,-0.190617,0.0998176,0.121723
3.02032,-0.000492936,-0.00389885,-0.0030284,-0.000141222,-0.00479062,-0.000736917,0.00245587,10.3142,5.47935,0.206021,3.90014,0.175029,-0.00243327,-0.00270142,-0.00206797,7.17667e-05,0.000135779,0.000555074,-3.10722,6.36591,1.65463,-3.19035,4.26075,2.79238,-0.163363,0.0230383,0.121475,-0.230383,0.0963422,0.125664,-0.160872,0.0187647,0.112995,-0.200167,0.0989829,0.122669
3.0253,-0.000473411,-0.00732754,-0.00597945,-0.000128649,-0.0106619,-0.00120962,0.00554414,10.3126,5.4781,0.206866,3.8973,0.174533,-0.00259521,-0.0029109,-0.00221522,5.53186e-05,0.000145567,0.00057114,-3.12042,6.44366,1.65784,-3.1888,4.25771,2.81144,-0.175929,0.0251327,0.121475,-0.196873,0.0963422,0.150796,-0.16446,0.0202822,0.115016,-0.199382,0.0983536,0.129372
3.03032,0.000620226,-0.0122208,-0.0105401,-1.73586e-05,-0.0207842,-0.00148123,0.00554414,10.3126,5.4781,0.206866,3.8973,0.174533,-0.00266594,-0.00296535,-0.00226559,5.66794e-05,0.000152539,0.000584725,-3.13053,6.49023,1.66031,-3.18761,4.25538,2.82605,-0.175929,0.0251327,0.121475,-0.196873,0.0963422,0.150796,-0.16721,0.0214453,0.116565,-0.198781,0.0978713,0.134509
3.03529,0.00118943,-0.0186046,-0.0166784,0.00055692,-0.0368784,-0.00130426,0.00697087,10.3117,5.47751,0.20722,3.89607,0.174307,-0.00272065,-0.00311915,-0.00238675,4.8355e-05,0.000150678,0.000600449,-3.14549,6.53396,1.65662,-3.20052,4.26084,2.82007,-0.184307,0.0272271,0.106814,-0.226195,0.102625,0.125664,-0.171277,0.0228206,0.114246,-0.205301,0.0990021,0.132405
3.04032,0.00207963,-0.0266228,-0.0265392,0.000484508,-0.0603853,-0.000793807,0.00842681,10.3109,5.47691,0.207594,3.89479,0.174088,-0.00276067,-0.00324766,-0.00247842,3.90771e-05,0.000142053,0.000606777,-3.1533,6.53542,1.65458,-3.21944,4.26018,2.8126,-0.180118,0.0230383,0.108909,-0.245044,0.0984366,0.121475,-0.173401,0.0228729,0.112963,-0.21485,0.0988662,0.129779
3.04531,0.00431088,-0.034581,-0.0414699,0.000592134,-0.0900335,-0.00137774,0.0116187,10.3092,5.47562,0.208607,3.89213,0.173675,-0.00283444,-0.00341115,-0.00259012,1.53814e-05,0.000143068,0.00061287,-3.15919,6.54968,1.65224,-3.205,4.27657,2.80554,-0.180118,0.0251327,0.106814,-0.184307,0.113097,0.119381,-0.175004,0.0234122,0.111496,-0.207561,0.102262,0.127298
