time,res_0,res_1,res_2,res_3,res_4,res_5,m_0,m_1,m_2,m_3,m_4,m_5,g_0,g_1,g_2,g_3,g_4,g_5,c_0,c_1,c_2,c_3,c_4,c_5,f_0,f_1,f_2,f_3,f_4,f_5
2.0004,0,0,0,0,0,0,0,0,0,0,0,0,-0.0576078,10.3351,5.49322,0.198309,3.93375,0.189196,-9.16034e-13,4.59445e-08,3.31033e-08,0,1.65081e-08,3.81933e-14,0.450252,0.313874,-0.214372,-0.644433,0.241735,-0.0585425
2.00531,0.019776,-0.0556164,0.0427816,-0.00650311,0.0287172,-0.00545592,0.000391921,0.00109153,0.000571043,0.0372697,0.000355476,6.86491e-05,-0.0576034,10.3351,5.49322,0.198313,3.93375,0.189201,-5.35106e-13,2.68365e-08,1.9336e-08,0,9.64264e-09,2.23093e-14,0.450252,0.313874,-0.214372,-0.513979,0.241735,-0.0585425
2.01031,0.0392907,-0.111586,0.0867422,-0.00510599,0.0539994,-0.0107335,0.000298333,0.000830906,0.000434692,0.0283713,0.000270604,5.22586e-05,-0.0576053,10.3351,5.49322,0.198311,3.93375,0.189198,-2.88889e-14,1.55518e-08,1.12052e-08,0,5.58781e-09,1.2928e-14,0.450252,0.313874,-0.214372,-0.411554,0.241735,-0.0585425
2.01526,0.0576893,-0.16625,0.129727,0.00280674,0.073136,-0.016674,0.00022749,0.000633597,0.000331469,0.0216342,0.000206346,3.98492e-05,-0.0576053,10.3351,5.49322,0.198311,3.93375,0.189198,-1.67978e-14,9.04279e-09,6.5154e-09,0,3.24911e-09,7.51719e-15,0.450252,0.313874,-0.214372,-0.333363,0.241735,-0.0585425
2.02033,0.0747323,-0.220968,0.172168,0.00795004,0.0925234,-0.0221914,-0.000216347,-0.000602563,-0.000315235,-0.0205741,-0.000196235,-3.78967e-05,-0.0576034,10.3351,5.49322,0.198313,3.93375,0.189201,-1.60902e-13,1.53534e-08,1.10623e-08,0,5.51665e-09,1.27634e-14,0.450252,0.313874,-0.214372,-0.409457,0.241735,-0.0585425
2.02536,0.0908697,-0.274086,0.213161,0.0124003,0.109859,-0.025831,0.000225229,0.0006273,0.000328175,0.0214191,0.000204291,3.94531e-05,-0.0576059,10.3351,5.49322,0.198311,3.93375,0.189198,-1.64656e-14,8.86397e-09,6.38658e-09,0,3.18492e-09,7.36867e-15,0.450252,0.313874,-0.214372,-0.33086,0.241735,-0.0585425
2.03027,0.106673,-0.324949,0.252502,0.0178063,0.122937,-0.0277148,0.000172125,0.000479397,0.000250799,0.016369,0.000156124,3.0151e-05,-0.0576059,10.3351,5.49322,0.198311,3.93375,0.189198,-9.61649e-15,5.17688e-09,3.72999e-09,0,1.86011e-09,4.30358e-15,0.450252,0.313874,-0.214372,-0.271958,0.241735,-0.0585425
2.03534,0.121991,-0.375849,0.291886,0.0313932,0.137023,-0.0310513,0.000519506,0.00144686,0.000756932,0.049403,0.000471195,9.09981e-05,-0.0576059,10.3351,5.49322,0.198311,3.93375,0.189198,-8.92222e-17,7.88407e-12,5.68055e-12,0,2.83283e-12,6.55408e-18,0.450252,0.313874,-0.214372,-0.0875942,0.241735,-0.0585425
2.04049,0.13654,-0.425986,0.330661,0.0529017,0.152052,-0.0358791,0.000392543,0.00109326,0.000571943,0.0373292,0.000356038,6.87588e-05,-0.0576059,10.3351,5.49322,0.198311,3.93375,0.189198,-2.85901e-14,2.52634e-09,1.82025e-09,0,9.07742e-10,2.10016e-15,0.450252,0.313874,-0.214372,0.0540479,0.241735,-0.0585425
2.04533,0.149561,-0.472526,0.365322,0.0735071,0.16704,-0.0577856,-0.000230019,-0.00303787,-0.00191897,-0.00890651,-0.00105086,-0.0437223,-0.0576059,10.3351,5.49322,0.198311,3.93375,0.189198,-9.6599e-14,3.78118e-09,2.54347e-09,-1.90006e-15,1.33217e-09,1.23499e-15,0.450252,0.313874,-0.214372,0.0228049,0.241735,-0.30491
2.05048,0.162347,-0.521429,0.400557,0.100672,0.183376,-0.0761947,0.00041715,0.0028932,0.00175169,0.03031,0.000986647,0.0316192,-0.0576059,10.3351,5.49323,0.198311,3.93376,0.189198,-1.76481e-14,3.40412e-09,2.70857e-09,-2.31012e-14,1.26054e-09,-4.75744e-14,0.450252,0.313874,-0.214372,0.137274,0.241735,-0.115552
2.05553,0.173978,-0.568412,0.434864,0.125167,0.193494,-0.0819643,-0.00014081,-0.000264482,-0.000120803,-0.0140819,-8.2856e-05,0.00230229,-0.0576059,10.3351,5.49323,0.198311,3.93376,0.189198,1.35381e-14,1.96485e-09,1.5631e-09,1.54818e-15,7.27543e-10,3.18832e-15,0.450252,0.313874,-0.214372,0.0851172,0.241735,-0.101837
2.06023,0.184552,-0.611723,0.466652,0.149278,0.198607,-0.0863104,0.000287098,0.000898201,0.000483456,0.0267698,0.000295044,0.00184637,-0.0576034,10.3351,5.49322,0.198313,3.93375,0.189201,-1.94011e-15,6.90908e-09,5.17053e-09,2.02126e-15,2.51065e-09,7.77363e-15,0.450252,0.313874,-0.214372,0.177432,0.241735,-0.0919613
